transcript_id,num_detected,num_sampled,proportion,source,annotation_version,gene_id,gene_symbol,pathway_id,transcript_id_v5.3.1
Cre01.g007850.t1.2,0,2,0.0,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g007850,,,Cre01.g007850.t1.2
Cre01.g007901.t2.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g007901,,,Cre01.g007901.t1.3
Cre01.g007950.t1.1,1,2,0.125,"['Hemme_2014', 'Bajhaiya_2016']",v5.5,Cre01.g007950,,,Cre01.g007950.t1.3
Cre01.g008000.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g008000,,,Cre01.g008000.t1.2
Cre01.g008051.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g008051,,,g206.t1
Cre01.g008100.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g008100,,,g207.t1
Cre01.g008150.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g008150,,,Cre01.g008150.t1.3
Cre01.g008200.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g008200,,,Cre01.g008200.t1.3
Cre01.g008250.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g008250,,,Cre01.g008250.t1.2
Cre01.g008300.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g008300,,,Cre01.g008300.t1.3
Cre01.g008350.t1.1,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g008350,,,Cre01.g008350.t1.3
Cre01.g008402.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g008402,,,g213.t1
Cre01.g008450.t1.2,1,1,0.125,['Bajhaiya_2016'],v5.5,Cre01.g008450,,,Cre01.g008450.t1.2
Cre01.g008500.t1.2,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g008500,,,Cre01.g008500.t1.2
Cre01.g008550.t1.1,0,1,0.0,['Bajhaiya_2016'],v5.5,Cre01.g008550,,,Cre01.g008550.t1.3
